Lauana Prado;Me Leva Pra Casa / Escrito Nas Estrelas / Saudade;BR
Lauana Prado;Escrito Nas Estrelas;BR
Gusttavo Lima;Balada;BR
Henrique & Juliano;Não Tô Valendo Nada;BR
Victor & Leo;Fada;BR
João Carreiro & Capataz;Faculdade da Pinga;BR
Vinícius de Moraes;Carta Ao Tom 74;BR
Vanessa Da Mata;Não Me Deixe Só;BR
Toquinho;Onde Anda Você;BR
Elis Regina;Como Nossos Pais;BR
Elis Regina;Águas De Março;BR
Miúcha;Pela Luz dos Olhos Teus;BR
Gal Costa;Que Pena (Ele Já Não Gosta Mais De Mim);BR
Elis Regina;Tiro Ao Álvaro;BR
Vinícius de Moraes;Samba Da Volta;BR
Toquinho;Regra Três;BR
Toquinho;Carolina, Carol Bela;BR
Jorge Ben Jor;Chove Chuva;BR
Chico Buarque;Apesar De Você;BR
Cartola;O Mundo É Um Moinho;BR
Astrud Gilberto;Água de Beber;BR
Elis Regina;Só Tinha De Ser Com Você;BR
Alceu Valença;Flor de Tangerina;BR
Djavan;Flor de Lis;BR
Gilberto Gil;Palco;BR
Maria Bethânia;Reconvexo;BR
Cartola;O Sol Nascerá (A Sorrir);BR
Chico César;À Primeira Vista;BR
Nara Leão;João E Maria;BR
Charlie Brown Jr.;Ela Vai Voltar;BR
Charlie Brown Jr.;Lugar Ao Sol;BR
Charlie Brown Jr.;Papo Reto (Prazer É Sexo O Resto É Negócio);BR
Charlie Brown Jr.;O Côro Vai Comê;BR
Charlie Brown Jr.;Os Cortes;BR
Charlie Brown Jr.;Vícios E Virtudes;BR
Charlie Brown Jr.;O Lado Certo Da Vida Errada;BR
Charlie Brown Jr.;Meu Novo Mundo;BR
Charlie Brown Jr.;Zóio De Lula;BR
Charlie Brown Jr.;Só os Loucos Sabem;BR
Charlie Brown Jr.;Festa;BR
Charlie Brown Jr.;Lutar Pelo Que E Meu;BR
Charlie Brown Jr.;Quinta;BR
Charlie Brown Jr.;Rock Star;BR
Charlie Brown Jr.;Dias De Luta, Dias De Gloria;BR
Charlie Brown Jr.;Tamo Ai Na Atividade;BR
Charlie Brown Jr.;Me Encontra;BR
Charlie Brown Jr.;Senhor Do Tempo;BR
Charlie Brown Jr.;Não é Sério;BR
Charlie Brown Jr.;Proibida Pra Mim (Grazon);BR
Charlie Brown Jr.;Di Sk8 Eu Vou;BR
Charlie Brown Jr.;Pra Não Dizer Que Não Falei Das Flores;BR
Charlie Brown Jr.;Céu Azul;BR
Charlie Brown Jr.;Lixo E O Luxo;BR
O Rappa;Minha alma (A paz que eu não quero);BR
O Rappa;Anjos (Pra quem tem fé);BR
Charlie Brown Jr.;Quebra;BR
Charlie Brown Jr.;Pontes Indestrutíveis;BR
Charlie Brown Jr.;Como Tudo Deve Ser;BR
Charlie Brown Jr.;Só Por Uma Noite;BR
Charlie Brown Jr.;Dona do Meu Pensamento;BR
Charlie Brown Jr.;Inabalavelmente;BR
Charlie Brown Jr.;Só Existe o Agora;BR
Charlie Brown Jr.;Só Pra Vadiar;BR
Charlie Brown Jr.;Puro Sangue;BR
Charlie Brown Jr.;Camisa 10 Joga Bola Até Na Chuva;BR
Charlie Brown Jr.;Um Dia a Gente Se Encontra;BR
Charlie Brown Jr.;Não Uso Sapato;BR
Skank;Acima do Sol;BR
Frejat;Amor pra recomeçar;BR
Charlie Brown Jr.;Eu Vim De Santos Sou Charlie Brown;BR
Trio Parada Dura;Blusa Vermelha;BR
Tião Carreiro & Pardinho;Tristeza do jeca;BR
Chitãozinho & Xororó;Fogão De Lenha;BR
Althaír & Alexandre;Laço Aberto;BR
Milionário & José Rico;Estrada da vida;BR
Zezé Di Camargo & Luciano;Do Outro Lado da Cidade;BR
Tião Carreiro & Pardinho;Chora viola;BR
Chitãozinho & Xororó;Colcha De Retalhos;BR
Sérgio Reis;Pinga Ne Mim;BR
Trio Parada Dura;Bobeou... A Gente Pimba;BR
João Paulo & Daniel;Poeira da estrada;BR
Sérgio Reis;É Disso Que o Velho Gosta;BR
Joaquim e Manuel;Som de Cristal;BR
Joaquim e Manuel;Boate Azul;BR
João Mineiro & Marciano;Ainda Ontem Chorei De Saudade;BR
Trio Parada Dura;As Andorinhas;BR
Trio Parada Dura;Telefone Mudo;BR
Leandro & Leonardo;Sublime renuncia;BR
Milionário & José Rico;Sessenta dias apaixonado;BR
Sérgio Reis;Rio de Lágrimas;BR
Roberta Miranda;Majestade O Sabiá;BR
Bruno & Marrone;Esqueci;BR
Chitãozinho & Xororó;FIO DE CABELO;BR
Zezé Di Camargo & Luciano;Você Vai Ver;BR
Zezé Di Camargo & Luciano;É o Amor;BR
Matogrosso & Mathias;Tentei Te Esquecer;BR
Leandro & Leonardo;Pense em mim;BR
João Paulo & Daniel;Minha estrela perdida;BR
Chitãozinho & Xororó;No Rancho Fundo;BR
Zezé Di Camargo & Luciano;No Dia em Que Eu Saí de Casa;BR
Edson & Hudson;Azul;BR
Leandro & Leonardo;Entre tapas e beijos;BR
Gino & Geno;Nóis Enverga Mas Não Quebra;BR
Sérgio Reis;Panela Velha;BR
Almir Sater;Cabecinha No Ombro;BR
Sérgio Reis e Filhos;Romaria;BR
Gino & Geno;Ela Chorou De Amor;BR
Zezé Di Camargo & Luciano;Pão de Mel;BR
Zezé Di Camargo & Luciano;Faz Mais uma Vez Comigo;BR
Chitãozinho & Xororó;Falando Às Paredes;BR
Milionário & José Rico;Decida;BR
Trio Parada Dura;Se For Passar Em Goiânia;BR
Teodoro & Sampaio;Vestido De Seda;BR
Milionário & José Rico;Vontade Dividida;BR
Daniel;Caminheiro;BR
Fafá de Belém;Nuvem de Lágrimas;BR
Daniel;O Menino da Porteira;BR
Belmonte & Amaraí;Saudade Da Minha Terra;BR
Lourenco & Lourival;Franguinho na Panela;BR
Lucas Reis & Thácio;Minas Gerais;BR
Gino & Geno;Apaixonado por Você;BR
Milionário & José Rico;Agenda rabiscada;BR
Gino & Geno;Vou Beber Veneno;BR
Milionário & José Rico;Vá pro inferno com seu amor;BR
Gino & Geno;Acidente De Amor;BR
Sérgio Reis;Chalana;BR
